"","x"
"1",-0.0515014267868512
"2",1.27982981035843
"3",-1.94777179619082
"4",-0.561698702400623
"5",4.14780356908631
"6",1.76098844691921
"7",2.53228944806232
"8",7.42050300946087
"9",8.06279588800252
"10",3.93746341741917
"11",2.77632357243556
"12",4.13841220028432
"13",2.38379328404323
"14",-0.929071691888885
"15",-1.35659668838092
"16",1.21224928712164
"17",1.27837008888696
"18",2.12877305583976
"19",-0.721201110317586
"20",-2.69988739714926
"21",-1.65089142357006
"22",-0.989862839814051
"23",1.08292092590525
"24",1.59014495335865
"25",1.7683863339538
"26",-0.754692321592239
"27",-2.43755503591376
"28",-1.44153747442383
"29",-2.75227968014336
"30",-3.3628376371484
"31",-0.866461790878797
"32",-0.145737950408957
"33",-4.03324333031217
"34",-3.69632442756193
"35",-1.35350737039158
"36",-0.219101543346721
"37",-1.2626932881136
"38",-0.391376454524002
"39",1.22628766896381
"40",3.71847034066402
"41",5.89519793125942
"42",2.16096878351808
"43",-0.657809232218739
"44",0.460009485105891
"45",1.21363426366986
"46",-0.738662859648201
"47",-1.98767607066752
"48",-0.814561430543252
"49",0.840453074620697
"50",-2.15052633419193
"51",-0.70919171126948
"52",3.15983035325706
"53",0.0399454685933383
"54",-2.36423493922401
"55",-2.36295001888613
"56",-2.40861473106265
"57",-1.54615715741312
"58",-0.544324539940608
"59",-0.9820342678945
"60",-3.41072937584282
"61",-4.03544064003324
"62",-3.70123184074109
"63",-1.74013518976712
"64",1.09912110771097
"65",-0.976624374609394
"66",-1.35756630286362
"67",0.122425664291348
"68",1.65959148238495
"69",2.09072490278842
"70",0.209143858198746
"71",-3.69210755203092
"72",-3.21583450685516
"73",0.0892681072732548
"74",-0.743244061441057
"75",1.50306801093599
"76",5.03996280630711
"77",5.40775050440994
"78",2.80448490007203
"79",-2.96320469077064
"80",-2.11082145303104
"81",0.950313319554403
"82",-1.90938227242226
"83",-1.48961285086029
"84",1.39958053472247
"85",0.0889734948085359
"86",1.21443060132439
"87",2.27068530308595
"88",-3.53326608411969
"89",-3.03107379845281
"90",-2.4803313562603
"91",-5.00116141366361
"92",-1.87408222366886
"93",-1.45844458953917
"94",-2.17642698286122
"95",0.280238040433037
"96",1.64430640418655
"97",-1.20014407090793
"98",-4.00130058848296
"99",-1.29795394204589
"100",-1.76037046465173
"101",-1.82496011005098
"102",-0.206563353139444
"103",-1.22712663541936
"104",-1.59028260066311
"105",-3.34279950598256
"106",-6.18527976288086
"107",-5.3076459174192
"108",-3.8776832639782
"109",0.234856131880071
"110",5.53988478828082
"111",4.14922995711574
"112",4.6611122946241
"113",7.5180551637358
"114",7.45299947058146
"115",3.53870206488528
"116",0.330487613639056
"117",-2.72548661045592
"118",-4.11918156082078
"119",-0.545044665390532
"120",2.9454665058593
"121",1.20419626079835
"122",-0.165742069455014
"123",0.290287738507143
"124",-0.0582623632363156
"125",-2.34198688036238
"126",-2.27032400143003
"127",-0.802106797452306
"128",-2.0855854986075
"129",-1.37942910134067
"130",0.995208367570316
"131",1.54508562056841
"132",-4.10012710194085
"133",-2.04454042133743
"134",1.85875549118728
"135",1.63805192964971
"136",3.06195613089645
"137",0.686733031646655
"138",-2.46985951658993
"139",-4.20308154410489
"140",-2.3750215482369
"141",2.42531631284232
"142",0.617567248586204
"143",-0.21538323230034
"144",5.94204189017708
"145",8.90810759281582
"146",7.51006354042613
"147",3.18648674229932
"148",2.36451764514202
"149",3.38567983703865
"150",2.66199262276906
"151",0.257062139854342
"152",-0.243515919861342
"153",4.01902128337449
"154",2.00065426389174
"155",0.600758877404646
"156",2.84131053287808
"157",4.27193566414709
"158",5.09838988508166
"159",5.83349146090027
"160",5.96880011366949
"161",3.14146231963636
"162",-2.24776970192944
"163",-3.0809287530973
"164",3.84430707584333
"165",6.04532714449911
"166",1.44884676605728
"167",-0.435059751765646
"168",-0.835069617479008
"169",0.336382781513622
"170",2.23396582546931
"171",2.75966227068152
"172",4.28720347543105
"173",1.73543383645285
"174",-1.20341589323419
"175",-5.46904053747759
"176",-8.78342403706539
"177",-4.47486755657522
"178",1.82472656875796
"179",3.23424188210715
"180",2.87749949649026
"181",3.74712975535502
"182",4.21634320875497
"183",2.25949061929803
"184",0.507922165824577
"185",0.0291719946711237
"186",-1.26335683687557
"187",0.567641322945856
"188",3.67118600874724
"189",-1.38017040413095
"190",-6.80137351348558
"191",-3.52893821768235
"192",-2.80729387178436
"193",-2.95799882286206
"194",-2.2807327594847
"195",-1.98334018265568
"196",2.32599754268101
"197",4.88291892479189
"198",4.95627768125854
"199",0.346360459543887
"200",-0.0239432589690211
