"","x"
"1",1.78446799122118
"2",1.94550598449231
"3",2.0014235051487
"4",2.77623737594432
"5",3.24403399381572
"6",2.52839074841447
"7",-0.95332409512617
"8",-0.839672378235485
"9",-2.79520034844632
"10",-1.27292402527934
"11",-0.965186141678294
"12",0.631169280866481
"13",2.19813213460566
"14",1.39942956751009
"15",1.70260798945838
"16",2.14926054058715
"17",1.41395662122806
"18",2.85597031536005
"19",0.281960035149763
"20",-1.30159504965516
"21",-1.14999941171314
"22",-1.39628027126235
"23",1.14666502884827
"24",3.49669949713332
"25",1.65895647673091
"26",1.41468438635489
"27",-1.23667269462381
"28",0.381140274957934
"29",-1.5817097775426
"30",-0.500081575565397
"31",-0.370537896712078
"32",-0.587818903408952
"33",0.797877405263389
"34",-0.499576563349509
"35",1.43281430738376
"36",1.3765923883442
"37",-0.097253757971454
"38",-0.236335569643306
"39",-2.97471424364921
"40",-2.30316352778702
"41",-1.52234869234877
"42",-0.740101086667765
"43",-1.11745726068797
"44",-1.35571483849929
"45",-2.03575011683719
"46",-1.64909461283175
"47",-1.73426971707727
"48",-1.30741458370464
"49",-1.01664361256485
"50",0.404132278980861
"51",0.0181119674249129
"52",-1.41714325039067
"53",-0.122177487527679
"54",2.11121454727485
"55",0.508604159567553
"56",0.75434975340764
"57",-1.34667436999237
"58",0.636553556809418
"59",2.30538754072682
"60",0.841263449883192
"61",1.66827169975008
"62",-0.290356053039385
"63",2.52420575174541
"64",-0.113762166768884
"65",-0.183116785562522
"66",1.5508427179956
"67",2.95231930140784
"68",4.13058363407212
"69",1.66883120139555
"70",1.67512103954879
"71",3.14248735754896
"72",3.28469815046021
"73",4.06790397489046
"74",1.69633817576823
"75",1.6604862592017
"76",-0.669087368714585
"77",-1.95288729907908
"78",-1.02888356059945
"79",1.01625483157871
"80",2.9784083825498
"81",1.59306753223317
"82",0.607080828790474
"83",0.306559544693196
"84",-0.656691622366568
"85",1.57958823619299
"86",1.64848959336309
"87",2.1103147551583
"88",-0.533444820303096
"89",-2.30475972846596
"90",-1.98736524066526
"91",-1.10637104154181
"92",2.93547263666023
"93",3.23840719156049
"94",3.76746937196631
"95",3.18789342159282
"96",-0.616499089726211
"97",0.568240199579213
"98",1.47153265783729
